date,0,1,2,3,4,5,6
5/12/2019,-0.217462749,-0.466928464,1.820111229,-1.530012809,-0.868660449,0.191565119,-1.071388122
5/19/2019,0.212334713,-0.168716217,1.678835719,-1.478695647,-0.875232689,0.192718934,-0.438755187
5/26/2019,0.208854854,0.07277363,1.440381595,-1.415878878,-0.881851648,0.193863079,-0.381857367
6/2/2019,-0.114919231,0.18042637,1.116475485,-1.341945989,-0.8885017,0.194997466,-0.853467599
6/9/2019,0.073413251,0.268946511,0.712471943,-1.257280464,-0.895167218,0.196122005,-0.901493972
6/16/2019,-0.066439687,0.408578872,0.240129583,-1.162265788,-0.901832578,0.197236609,-1.28459299
6/23/2019,-0.00374082,0.444132931,-0.284783989,-1.057285448,-0.908482152,0.198341187,-1.61181829
6/30/2019,0.145847406,0.300471495,-0.836095637,-0.942722928,-0.915100314,0.199435651,-2.048164327
7/7/2019,-0.205420539,-0.000630243,-1.374156649,-0.818961714,-0.921671439,0.200519912,-3.120320673
7/14/2019,-0.100409717,-0.251262886,-1.856418531,-0.686385292,-0.9281799,0.201593881,-3.621062445
7/21/2019,0.343769999,-0.302390429,-2.240332787,-0.545377147,-0.934610072,0.20265747,-3.476282965
7/28/2019,0.180117024,-0.131622612,-2.485513662,-0.396320763,-0.940946328,0.203710589,-3.570575753
8/4/2019,-0.388834848,0.111497906,-2.564721061,-0.23965355,-0.947173042,0.204753149,-3.824131444
8/11/2019,-0.671520455,0.256720463,-2.470772442,-0.076112602,-0.953274587,0.205785062,-3.709174561
8/18/2019,0.04141307,0.186345293,-2.205929986,0.093175048,-0.959235339,0.206806239,-2.637425675
8/25/2019,0.692696402,-0.032722635,-1.796479875,0.266998368,-0.965039671,0.20781659,-1.626730821
9/1/2019,1.149495485,-0.278441194,-1.283882341,0.444146321,-0.970671956,0.208816027,-0.730537658
9/8/2019,0.783614748,-0.448667921,-0.70469138,0.623407875,-0.976116569,0.209804461,-0.512648785
9/15/2019,0.244623378,-0.504202705,-0.09249234,0.803571995,-0.981357883,0.210781803,-0.319075753
9/22/2019,-0.301712219,-0.425977225,0.524267795,0.983427646,-0.986380273,0.211747964,0.005373688
9/29/2019,-0.878284951,-0.200459859,1.122678739,1.161763795,-0.991168113,0.212702856,0.427232467
10/6/2019,-1.76946225,0.184747122,1.680964099,1.337369408,-0.995705775,0.213646388,0.651558992
10/13/2019,-1.417156817,0.711471735,2.177347485,1.509033449,-0.999977635,0.214578473,2.195296691
10/20/2019,-0.495687285,1.239263152,2.590052506,1.675544885,-1.003968066,0.215499022,4.220704214
